Device,Element,Linac Z (m)*,Control System Name*,PS String,PS Config,Imin Val,Imin Uom,Imax Val,Imax Uom,Bmin Val,Bmin Uom,Bmax Val,Bmax Uom
QUAD,QB10731,1016.917788,QUAD:IN10:731,,Individual,-30,A,30,A,-17.3171,kG,16.9091,kG
QUAD,Q11301,1037.5771,QUAD:LI11:301,,Individual,-12,A,12,A,-7.0453,kG,6.649,kG
QUAD,Q11501,1065.2972,LI11:QUAD:501,,Individual,0,A,20,A,-0.5394,kG,-11.379,kG
QUAD,Q11801,1102.3304,LI11:QUAD:801,,Individual,0,A,20,A,0.5394,kG,11.3788,kG
QUAD,Q12501,1166.8972,LI12:QUAD:501,,Individual,0,A,20,A,-0.5402,kG,-11.3936,kG
QUAD,Q12601,1179.2416,LI12:QUAD:601,,Individual,0,A,20,A,0.5402,kG,11.3934,kG
QUAD,Q15701,1496.386,LI15:QUAD:701,,Individual,0,A,20,A,-0.5411,kG,-11.4142,kG
QUAD,Q19851,1921.5145,QUAD:LI19:851,,Individual,0,A,200,A,-0.2575,kG,-101.8972,kG
QUAD,QDAS11,3002.799961,QUAD:DASEL:434,,Individual,0,A,190,A,-28.3481,kG,-0.1214,kG
QUAD,QBP13,1254.531303,QUAD:BPN13:400,QBP10,String,0,A,30,A,0.1052,kG,4.5121,kG
QUAD,QBP18,1762.531303,QUAD:BPN18:400,QBP10,String,0,A,30,A,-4.5112,kG,-0.1037,kG
YCOR,YCBP19,1865.495933,YCOR:BPN19:409,,Individual,-6,A,6,A,-0.018934093,kG-m,0.018934093,kG-m
XCOR,XCBP28,2779.496603,XCOR:BPN28:406,,Individual,-2,A,2,A,-0.015597242,kG-m,0.015597242,kG-m
YCOR,YCBP32,3116.871793,YCOR:SLTS:469,,Individual,-2,A,2,A,-0.020986359,kG-m,0.020986359,kG-m
XCOR,XCBP23,2271.667333,XCOR:BPN23:406,,Individual,-1,A,1,A,-0.010493179,kG-m,0.010493179,kG-m
YCOR,YCBP10,950.867333,YCOR:DOG:577,,Individual,-1,A,1,A,-0.010493179,kG-m,0.010493179,kG-m
XCOR,XCL3P,806.896775,XCOR:DOG:338,,Individual,-1,A,1,A,-0.010493179,kG-m,0.010493179,kG-m
YCOR,YCDOG8,739.212345,YCOR:DOG:227,,Individual,-2,A,2,A,-0.020986359,kG-m,0.020986359,kG-m
KICK,BKYSP2H,2783.376003,KICK:SPH:115,,Individual,0,A,70,A,0,kG-m,0.04,kG-m
KICK,BKYSP3H,2784.676003,KICK:SPH:120,,Individual,0,A,70,A,0,kG-m,0.04,kG-m
KICK,BKYSP1S,2869.252003,KICK:SPS:385,,Individual,0,A,70,A,0,kG-m,0.04,kG-m
KICK,BXKIK,2474.524,KICK:LI25:344,,Individual,0,A,65,A,0,kG-m,0.05,kG-m
XCOR,XCE202,363.482197,XCOR:EMIT2:310,,Individual,-2,A,2,A,-0.021,kG-m,0.021,kG-m
XCOR,XCSP1H,2848.506141,XCOR:SPH:324,,Individual,-2,A,2,A,-0.021,kG-m,0.021,kG-m
XCOR,XCSP1,2849.856303,XCOR:SPD:334,,Individual,-2,A,2,A,-0.021,kG-m,0.021,kG-m
XCOR,XCSP3S,2942.262444,XCOR:SPS:634,,Individual,-2,A,2,A,-0.021,kG-m,0.021,kG-m
KICK,BKY21929,2131.5082,KICK:LI21:929,,Individual,0,V,4000,V,0,kG-m,0.0043,kG-m
BEND,BCXDLU1,664.7183,BEND:DOG:105,BCXDLU2,String,0,A,250,A,0.0129,kG-m,4.5253,kG-m
BEND,BCXDLU4,666.3683,BEND:DOG:108,BCXDLU2,String,0,A,250,A,0.013,kG-m,4.519,kG-m
BEND,BCX324,3294.337445,BEND:LTUH:303,BCX322,String,0,A,250,A,0.0121,kG-m,4.5118,kG-m
BEND,BCX354,3321.845916,BEND:LTUH:378,BCX352,String,0,A,250,A,0.012,kG-m,4.5181,kG-m
BEND,BX32B,3350.877679,BEND:LTUS:460,BYD1B,String,0,A,200,A,0.0802,GeV/c,15.7673,GeV/c
BEND,BYD1,3735.948909,BEND:DMPH:400,BYD1,String Main,0,A,300,A,0.1037,GeV/c,22.6824,GeV/c
BEND,BCX22,344.004952,BEND:BC2B:500,BCX22,String Main,0,A,125,A,0.0172,kG-m,5.4977,kG-m
BEND,BRCUSDC1,3058.591455,BEND:CLTS:180,BRCUSDC1,String Main,0,A,6,A,0.2388,GeV/c,17.9028,GeV/c
BEND,BYCUS1,3125.286158,BEND:CLTS:505,BYCUS1,String Main,0,A,6,A,0.1227,GeV/c,11.8406,GeV/c
BEND,BCXH4,27.177172,BEND:HTR:820,BCXH2,String,0,A,47,A,0.0024,GeV/c,0.2408,GeV/c
QUAD,Q4,3115.97846,QUAD:BSYH:465,,Individual,0,A,50,A,-86.8342,kG,-0.8162,kG
QUAD,Q6,3170.615976,QUAD:BSYH:735,,Individual,0,A,50,A,-87.0322,kG,-0.8995,kG
QUAD,QVB3B,3381.296822,QUAD:LTUS:560,QVB1B,String,0,A,200,A,-101.3749,kG,-0.2545,kG
QUAD,QDL22,3366.597179,QUAD:LTUS:510,,Individual,0,A,200,A,0.2622,kG,101.5482,kG
QUAD,QEM2B,3405.214376,QUAD:LTUS:640,,Individual,-200,A,200,A,-102.4455,kG,102.2163,kG
QUAD,QEM4B,3422.136032,QUAD:LTUS:680,,Individual,-120,A,120,A,-67.6932,kG,67.4269,kG
QUAD,QSP2S,2926.317307,QUAD:SPS:580,QSP2S,String Main,0,A,165,A,-149.5096,kG,-0.9513,kG
QUAD,QSP3S,2943.059744,QUAD:SPS:640,QSP3S,String Main,0,A,165,A,0.9177,kG,150.7979,kG
QUAD,QC102,138.25622,QUAD:COL1:260,,Individual,-12,A,12,A,-20.3676,kG,20.1877,kG
QUAD,QC105,146.447052,QUAD:COL1:400,,Individual,-12,A,12,A,-20.3865,kG,20.2183,kG
QUAD,QC010,66.39644,QUAD:COL0:800,,Individual,-12,A,12,A,-20.436,kG,20.2667,kG
QUAD,QC110,166.447052,QUAD:COL1:800,,Individual,-12,A,12,A,-20.4253,kG,20.2402,kG
QUAD,QDG006,41.391515,QUAD:DIAG0:300,,Individual,-12,A,12,A,-20.315,kG,20.1245,kG
QUAD,QE31B,3433.182248,QUAD:LTUS:720,,Individual,0,A,12,A,0.256,kG,20.2782,kG
QUAD,CQ22B,354.42919,QUAD:BC2B:850,,Individual,-12,A,12,A,-2.3722,kG,2.3529,kG
QUAD,QDL12,3253.36388,QUAD:LTUS:180,QDL12,String Main,0,A,165,A,-52.2428,kG,-0.251,kG
QUAD,QDL11,3240.614425,QUAD:LTUS:150,,Individual,0,A,165,A,0.2518,kG,52.2485,kG
